dataset,totGFLOPS,gpu,bw
CDS1,35.849216,K80,138.7887
CDS1,35.841477,K80,138.758738
CDS1,35.845056,K80,138.772595
CDS1,35.849733,K80,138.790702
CDS1,35.846858,K80,138.779569
CDS2,33.027085,K80,137.623521
CDS2,33.024945,K80,137.614601
CDS2,33.025303,K80,137.616093
CDS2,33.02512,K80,137.615331
CDS2,33.027813,K80,137.626553
CDS1,125.61883,P100,486.327906
CDS1,125.587015,P100,486.204733
CDS1,125.671364,P100,486.531287
CDS1,125.672643,P100,486.536239
CDS1,125.676145,P100,486.549796
CDS2,117.499004,P100,489.617125
CDS2,117.419994,P100,489.287893
CDS2,117.442831,P100,489.383055
CDS2,117.504587,P100,489.640389
CDS2,117.439551,P100,489.369387
CDS1,209.226202,V100,810.010255
CDS1,209.325647,V100,810.395249
CDS1,209.306863,V100,810.32253
CDS1,209.040459,V100,809.291156
CDS1,209.211221,V100,809.952256
CDS2,195.639336,V100,815.227077
CDS2,195.565292,V100,814.918535
CDS2,195.618599,V100,815.140667
CDS2,195.633228,V100,815.201623
CDS2,195.568424,V100,814.931588
